,de,en-GB,en,es,es-MX,fr-CA,fr,it,ja,ko,nl,ru,zh-Hans,zh-Hant
Landing_Copyright,"Apple und das Apple-Logo sind Marken der Apple Inc., die in den USA und weiteren Ländern eingetragen sind. App Store ist eine Dienstleistungsmarke der Apple Inc. Google Play und das Google Play-Logo sind Marken von Google LLC.",Apple and the Apple logo is a trademark of Apple Inc. that is registered in the USA and other countries. The App Store is a service mark for Apple Inc. Google Play and the Google Play logo is a trademark of Google LLC.,Apple and the Apple logo is a trademark of Apple Inc. that is registered in the USA and other countries. The App Store is a service mark for Apple Inc. Google Play and the Google Play logo is a trademark of Google LLC.,"Apple y el logotipo de Apple son marcas comerciales de Apple Inc., registradas en EE. UU. y otros países. App Store es una marca de servicio de Apple Inc. Google Play y el logotipo de Google Play son marcas comerciales de Google LLC.","Apple y el logotipo de Apple son marcas comerciales de Apple Inc., registradas en EE. UU. y otros países. App Store es una marca de servicio de Apple Inc. Google Play y el logotipo de Google Play son marcas comerciales de Google LLC.","Apple et le logo Apple sont des marques déposées d'Apple Inc., enregistrées aux États-Unis ainsi que dans d'autres pays. L'App Store est un service d'Apple Inc.<br />Google Play et le logo Google Play sont des marques déposées de Google LLC.","Apple et le logo Apple sont des marques déposées d'Apple Inc., enregistrées aux États-Unis ainsi que dans d'autres pays. L'App Store est un service d'Apple Inc.<br />Google Play et le logo Google Play sont des marques déposées de Google LLC.","Apple e il logo Apple sono marchi di Apple Inc., registrati negli Stati Uniti e in altri Paesi. App Store è un marchio di servizio di Apple Inc. Google Play e il logo di Google Play sono marchi di Google LLC.",Apple、Appleロゴ、App Storeは、Apple Inc.の商標です。Google Play および Google Play ロゴは Google LLC の商標です。,"Apple, Apple 로고, App Store는 Apple Inc.의 상표입니다. Google Play 및 Google Play 로고는 Google LLC의 상표입니다.","Apple en het Apple-logo zijn handelsmerken van Apple Inc., die zijn gedeponeerd in de Verenigde Staten en andere landen. App Store is een dienstmerk van Apple Inc. Google Play en het logo van Google Play zijn handelsmerken van Google LLC.",Apple и логотип Apple являются зарегистрированными товарными знаками компании Apple Inc. в США и других странах. App Store является сервисным знаком компании Apple Inc. Google Play и логотип Google Play являются товарными знаками корпорации Google LLC.,Apple、Apple 标志、App Store 是 Apple Inc. 的商标。Google Play 和 Google Play 徽标均为 Google LLC 的商标。,Apple、Apple標誌和Apple Store是Apple Inc.的商標。Google Play和Google Play標誌是Google LLC的商標。
Landing_DlAppStore,Erhältlich im App Store,Download it from the App Store,Download it from the App Store,Descargar de App Store,Descargar de App Store,Télécharger l'application via l'App Store,Télécharger l'appli via l'App Store,Scaricala dall'App Store,App Storeからダウンロード,App Store에서 다운로드하기,Download hem in de App Store,Загрузить из App Store,App Store下载,App Store下載
Landing_DlGooglePlay,Jetzt bei Google Play,Get it with Google Play,Get it with Google Play,Descargar de Google Play,Descargar de Google Play,Télécharger l'application via Google Play,Télécharger l'appli via Google Play,Ottienila con Google Play,Google Playで手に入れよう,다운로드하기 Google Play,Download hem via Google Play,Загрузить из Google Play,Google Play立即下载,Google Play立即下載
Landing_Download,Lade die App hier herunter!,App available here!,App available here!,¡Puedes descargar la aplicación aquí!,¡Puedes descargar la aplicación aquí!,Tu peux télécharger l'application ici!,Tu peux télécharger l'appli ici !,Scarica l'app qui!,アプリのダウンロードはこちら,앱 다운로드하기,Je kunt de app hier downloaden!,Приложение можно загрузить здесь!,请从此处下载软件,請從此處下載應用程式
Landing_Nso,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online,Nintendo Switch Online
Landing_OpenApp,App öffnen,Open App,Open App,Abrir la aplicación,Abrir la aplicación,Ouvrir l'application,Ouvrir l'appli,Avvia app,アプリを開く,앱 기동하기,App openen,Открыть приложение,打开软件,開啟應用程式
Landing_Splatoon3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,スプラトゥーン3,스플래툰 3,Splatoon 3,Splatoon 3,《斯普拉遁 3》,《斯普拉遁 3》
Landing_Title,Die Nintendo Switch Online-Smartphone-App öffnen,Opening the Nintendo Switch Online smartphone app...,Opening the Nintendo Switch Online smartphone app...,Se va a abrir la aplicación para móviles Nintendo Switch Online...,Se va a abrir la aplicación para dispositivos móviles Nintendo Switch Online,Ouverture de l'application pour téléphone intelligent Nintendo Switch Online,Ouverture de l'appli pour appareil connecté Nintendo Switch Online,Avvio dell'app per dispositivi smart Nintendo Switch Online...,スマートフォンアプリ『Nintendo Switch Online』を開きます,스마트폰 앱 『Nintendo Switch Online』을 기동합니다,Bezig de Nintendo Switch Online-app te openen...,Открывается приложение для смартфонов Nintendo Switch Online,打开智能手机软件《Nintendo Switch Online》,開啟智慧型手機應用程式「Nintendo Switch Online」
MemoryPlayer_AppName,Kampferinnerungen,View Replays,View Replays,Repeticiones,Repeticiones,Vidéos,Vidéos,Replay,メモリープレーヤー,메모리 플레이어,Herhalingen,Повторы,记忆播放器,記憶播放器
MemoryPlayer_Copied,Kopiert!,Copied,Copied,Se ha efectuado la copia.,Copiado,La copie a été effectuée.,La copie a été effectuée.,Copiato,コピーしました,복사했습니다,Gekopieerd!,Скопировано,已复制,複製完成
MemoryPlayer_Download,Kampferinnerungen herunterladen,Download Battle Replays,Download Battle Replays,Descargar repeticiones de combates,Descargar repeticiones de combates,Télécharger des vidéos de matchs,Télécharger des vidéos de matchs,Scarica replay,バトルメモリーのダウンロード,배틀 메모리 다운로드,Herhalingen downloaden,Загрузить повторы боя,下载对战记忆,下載對戰記憶
MemoryPlayer_FailedDownload,Download abgebrochen.,Download failed.,Download failed.,No se ha podido programar la descarga.,No se pudo programar la descarga.,Le téléchargement a échoué.,Le téléchargement a échoué.,Download fallito.,ダウンロード予約に失敗しました,다운로드 예약에 실패했습니다,Download mislukt.,Не удалось загрузить.,预约下载失败。,預約下載失敗
MemoryPlayer_Guide,Heruntergeladene Erinnerungen kannst du dir im Lobby-Terminal in Splatoon 3 ansehen.,Downloaded battle replays can be viewed at the lobby terminal in the Splatoon 3 game.,Downloaded battle replays can be viewed at the lobby terminal in the Splatoon 3 game.,Las repeticiones de combates descargadas se pueden ver en el terminal del vestíbulo de Splatoon 3.,Las repeticiones de combates descargadas se pueden ver en el terminal del vestíbulo de Splatoon 3.,Les vidéos de matchs téléchargées peuvent être visionnées depuis le terminal du hall dans le jeu Splatoon 3.,Les vidéos de matchs téléchargées peuvent être visionnées depuis le terminal du hall dans le jeu Splatoon 3.,I replay scaricati possono essere visualizzati<br />al terminale della lobby in Splatoon 3.,ダウンロードしたバトルメモリーは<br />スプラトゥーン3のロビー端末のメモリープレーヤーで再生することができます,다운로드한 배틀 메모리는<br />스플래툰 3의 로비 단말기에서 메모리 플레이어로 재생할 수 있습니다,Je kunt gedownloade herhalingen bekijken bij de lobbyterminal in Splatoon 3.,Для просмотра загруженных повторов боя можно использовать терминал в Холле в игре Splatoon 3.,使用《斯普拉遁 3》大厅设备中的记忆播放器<br />即可播放下载完成的对战记忆,使用《斯普拉遁 3》大廳設備中的記憶播放器<br />即可播放已下載的對戰記憶
MemoryPlayer_Loading,Ladevorgang...,Loading...,Loading...,Cargando...,Buscando...,Chargement...,Chargement...,Caricamento in corso...,Loading...,Loading…,Bezig met laden...,Идет загрузка данных...,Loading...,Loading……
MemoryPlayer_Notice,Es werden die 50 letzten Einträge angezeigt.<br />Sie sind 30 Tage verfügbar.,Showing the 50 most recent entries.<br />They will be available for 30 days.,Showing the 50 most recent entries.<br />They will be available for 30 days.,Se muestran los 50 registros más recientes.<br />Estarán disponibles durante 30 días.,Se muestran los 50 registros más recientes.<br />Estarán disponibles durante 30 días.,Les 50 entrées les plus récentes sont affichées.<br />Elles seront disponibles pendant 30 jours.,Les 50 entrées les plus récentes sont affichées.<br />Elles seront disponibles pendant 30 jours.,Vengono visualizzate le 50 voci più recenti.<br />Saranno disponibili per 30 giorni.,最新の50件を表示しています<br />保存期間は30日です,최신 50건을 표시합니다<br />저장 기간은 30일입니다,De 50 meest recente herhalingen worden getoond.<br />Ze blijven 30 dagen beschikbaar.,Отображаются 50 последних повторов.<br />Они будут доступны в течение 30 дней.,显示内容仅为最新的50件，<br />保存期限为30天,目前顯示內容為最新的50件<br />儲存期限為30天
MemoryPlayer_Placeholder,Code eingeben,Enter Code,Enter Code,Introducir código,Introducir código,Saisir un code,Saisir un code,Inserisci codice,コードを入力,코드 입력,Code invoeren,Ввести код,输入代码,輸入代碼
MemoryPlayer_ReplayCode,Code zum Herunterladen,Download Code,Download Code,Código de descarga,Código de la repetición,Code de téléchargement,Code de téléchargement,Codice download,ダウンロードコード,다운로드 코드,Code om te downloaden,Код загрузки,下载代码,下載代碼
MemoryPlayer_ReplayNotAvailable,Keine Daten gefunden.,No data found.,No data found.,No se han encontrado datos.,No se encontraron datos.,Aucune donnée n'a été trouvée.,Aucune donnée n'a été trouvée.,Nessun dato trovato.,データが見つかりません,데이터를 찾을 수 없습니다,Er zijn geen gegevens gevonden.,Нет данных,未找到数据,沒有找到資料
MemoryPlayer_ReservedDownload,Download vorgemerkt.,Download scheduled.,Download scheduled.,Se ha programado la descarga.,Se programó la descarga.,Le téléchargement est programmé.,Le téléchargement est programmé.,Download programmato.,ダウンロード予約しました,다운로드 예약했습니다,Download gepland.,Загрузка запланирована.,已预约下载。,預約下載成功
MemoryPlayer_Send,OK,Enter,Enter,Enviar,Buscar,OK,OK,Ottieni,送信,송신,Oké,Ввести,发送,發送
MemoryPlayer_Title,Kampferinnerungen,View Replays,View Replays,Repeticiones,Repeticiones,Vidéos,Vidéos,Replay,メモリープレーヤー,메모리 플레이어,Herhalingen,Повторы,记忆播放器,記憶播放器
MemoryPlayer_UploadBy,Hochgeladen von,Uploaded by,Uploaded by,Enviada por,Enviada por,Envoyé sur le serveur par ,Envoyée sur le serveur par ,Caricato da,アップロードした人,업로드한 사람,Geüpload door,Отправлено пользователем,上传者,上傳者
MemoryPlayer_Uploaded,Hochgeladene Erinnerungen,Uploaded Battle Replay,Uploaded Battle Replay,Repeticiones de combates enviadas,Repeticiones de combates publicadas,Vidéos de matchs envoyées sur le serveur,Vidéos de matchs envoyées sur le serveur,Replay caricati,アップロードしたバトルメモリー,업로드한 배틀 메모리,Geüploade herhaling,Отправленные повторы боя,上传的对战记忆,上傳的對戰記憶
MyOutfits_Add,Lieblings-Style erstellen,Create Freshest Fit,Create Freshest Fit,Crear atuendo favorito,Crear atuendo,Créer une tenue favorite,Créer une tenue favorite,Crea look preferito,マイコーデをつくる,마이 코디 만들기,Lievelingsstijl maken,Создать свежий прикид,创建个人穿搭,建立個人穿搭
MyOutfits_AddCurrentEquipments,+  Diese Ausrüstung zu „Lieblings-Styles“ hinzufügen,+ Add this gear to Freshest Fits,+ Add this gear to Freshest Fits,+ Añadir esto a tus atuendos favoritos,+ Añadir esto a Tus atuendos,+ Ajouter cette tenue aux tenues favorites,+ Ajouter cette tenue aux tenues favorites,+ Aggiungi questo equipaggiamento ai look preferiti,+ このそうびをマイコーデに追加,+ 이 장비를 마이 코디에 추가,+ Deze uitrusting aan 'Lievelingsstijlen' toevoegen,+ Добавить это снаряжение в cвежие прикиды,+ 将此装备添加至个人穿搭,+ 將此裝備新增至個人穿搭
MyOutfits_All,Alle,Show All,Show All,Ver todo,Ver todo,Tout afficher,Tout afficher,Mostra tutto,すべて表示,모두 표시,Alle,Отобразить все,全部显示,全部顯示
MyOutfits_AppName,Lieblings-Styles,Freshest Fits,Freshest Fits,Atuendos favoritos,Tus atuendos,Tenues favorites,Tenues favorites,Look preferiti,マイコーデ,마이 코디,Lievelingsstijlen,Свежие прикиды,个人穿搭,個人穿搭
MyOutfits_Brand,Marken,Brand,Brand,Marca,Marca,Marque,Marque,Marca,ブランド,브랜드,Merk,Бренд,品牌,品牌
MyOutfits_CameraOption,Kamera-Optionen,Control Settings,Control Settings,Ajustes de la cámara,Cámara,Paramètres de la caméra,Paramètres de la caméra,Opzioni,カメラオプション,카메라 옵션,Camerabesturing,Управление,镜头选项,鏡頭選項
MyOutfits_CloseCameraOption,Kamera-Optionen ausblenden,Hide Control Settings,Hide Control Settings,No ver ajustes de la cámara,Ocultar ajustes,Masquer les paramètres de la caméra,Masquer les paramètres de la caméra,Nascondi opzioni,カメラオプションを隠す,카메라 옵션 숨기기,Camerabesturing verbergen,Не отображать настройки управления,隐藏镜头选项,隱藏鏡頭選項
MyOutfits_Cloth,Kleidung,Clothes,Clothes,ropa,ropa,Vêtements,Vêtements,vestiti,フク,옷,Kleding,Одежда,服装,服裝
MyOutfits_CurrentEquipments,Momentane Ausrüstung,Current Gear,Current Gear,Equipamiento actual,Equipamiento actual,Équipement actuel,Équipement actuel,Equipaggiamento,現在のそうび,현재 장비,Huidige uitrusting,Снаряжение с собой,目前装备,目前裝備
MyOutfits_CurrentEquipmentsGuide,Hier erscheint deine Ausrüstung im zuletzt bestrittenen Kampf.,Shows gear equipped for the last battle you were in.,Shows gear equipped for the last battle you were in.,Aquí se muestra el equipamiento que usaste en tu último combate.,Aquí se muestra el equipamiento que usaste en tu último combate.,Équipement utilisé lors de ton dernier match,Équipement utilisé lors de ton dernier match,Questo è l'equipaggiamento usato nell'ultima partita a cui hai partecipato.,現在のそうびは最後に対戦を行った内容を表示しています,현재 장비는 마지막 대전 때의 장비입니다,Hier verschijnt de uitrusting uit je laatste gevecht.,Отображает снаряжение из твоего последнего боя,目前装备将会显示最后一次进行对战时的内容,目前裝備將會顯示最後一次進行對戰時的內容
MyOutfits_CurrentGear,Momentane Ausrüstung,Current Gear,Current Gear,Equipamiento actual,Artículo actual,Équipement actuel,Équipement actuel,Oggetto attuale,選択中のギア,선택 중인 기어,Huidige uitrusting,Снаряжение с собой,目前选择的装备,目前選擇的裝備
MyOutfits_CurrentWeapon,Momentane Waffe,Current Weapon,Current Weapon,Arma actual,Arma actual,Arme actuelle,Arme actuelle,Arma attuale,選択中のブキ,선택 중인 무기,Huidig wapen,Оружие с собой,目前选择的武器,目前選擇的武器
MyOutfits_ErrorSave,Speichern nicht möglich.,Could not save.,Could not save.,No se han podido guardar los datos.,No se pudieron guardar los datos.,La sauvegarde a échoué.,La sauvegarde a échoué.,Impossibile salvare.,保存に失敗しました,저장에 실패했습니다,Opslaan niet mogelijk.,Не удалось сохранить.,保存失败,儲存失敗
MyOutfits_Exp,Erfahrung <em></em>,Experience <em></em>,Experience <em></em>,Experiencia: <em></em>,Experiencia: <em></em>,Expérience <em></em>,Expérience <em></em>,Esperienza: <em></em>,ケイケン値 <em></em>,경험치 <em></em>,Ervaring <em></em>,Опыт: <em></em>,经验值 <em></em>,經驗值 <em></em>
MyOutfits_Filter,Filter,Filter,Filter,Filtrar,Filtrar,Filtre,Filtre,Filtro,絞り込む,필터,Filteren,Фильтр,筛选,篩選
MyOutfits_Gear,Ausrüstung,Gear,Gear,Equipamiento,Artículos,Équipement,Équipement,Oggetti,ギア,기어,Uitrusting,Снаряжение,装备,裝備
MyOutfits_GearPower,Effekte,Ability,Ability,Potenciadores,Potenciadores,Bonus,Bonus,Abilità,ギアパワー,기어 파워,Effect,Свойства,装备能力,裝備能力
MyOutfits_GearPowerAnnotation,Zusatzeffekte besitzen 30 % der Wirkung von Haupteffekten.,Secondary gear abilities are 30% as effective as primary abilities.,Secondary gear abilities are 30% as effective as primary abilities.,Los potenciadores secundarios proporcionan un 30 % del efecto del potenciador principal.,Los potenciadores secundarios proporcionan un 30 % del efecto del potenciador principal.,Les bonus additionnels produisent un effet équivalent à 30 % de celui des bonus principaux.,Les bonus additionnels produisent un effet équivalent à 30 % de celui des bonus principaux.,Le abilità extra hanno un'efficacia pari al 30% di quelle principali.,追加ギアパワー1個は、基本ギアパワー0.3個分の効果です,추가 기어 파워 1개는 기본 기어 파워 0.3개만큼의 효과를 냅니다,Extra effecten hebben 30% van de werking van hoofdeffecten.,Эффективность дополнительных свойств составляет 30% от эффективности основных.,1个追加装备能力的效果为基本装备能力的0.3倍,1個追加裝備能力的效果為基本裝備能力的0.3倍
MyOutfits_Guide,Erstelle Lieblings-Styles!,Go create Freshest Fits!,Go create Freshest Fits!,¡Prueba a crear atuendos favoritos!,¡Intenta crear atuendos!,Crée donc quelques tenues!,Crée donc quelques tenues !,Crea qualche look preferito!,マイコーデをつくってみよう,마이 코디를 만들어 보자,Maak eens wat lievelingsstijlen!,Создай свежий прикид!,尝试创建个人穿搭吧,嘗試建立個人穿搭吧
MyOutfits_GuideGearPowerButton,"Wähle ein Ausrüstungsteil, um mehr zu dessen Effekten zu erfahren.",Select gear to learn more about its abilities.,Select gear to learn more about its abilities.,Selecciona artículos para saber más sobre sus potenciadores.,Selecciona artículos para saber más sobre sus potenciadores.,Sélectionne une pièce d'équipement pour voir plus d'informations.,Sélectionne une pièce d'équipement pour voir plus d'informations.,Seleziona un oggetto per saperne di più sulle sue abilità.,ギアを選択するとギアパワーの内訳が表示されます,기어를 선택하면 기어 파워 내역이 표시됩니다,Kies uitrusting om meer te weten te komen over de effecten die het bezit.,"Выбери снаряжение, чтобы больше узнать о его свойствах.",选择装备即可显示装备能力详情,選擇裝備後將會顯示裝備能力的細節
MyOutfits_GuideLimitation,Du kannst nur bis zu fünf Lieblings-Styles erstellen.,You can only create up to five Freshest Fits.,You can only create up to five Freshest Fits.,Puedes crear hasta 5 atuendos favoritos.,Solo puedes crear hasta 5 atuendos.,Tu ne peux pas créer plus de cinq tenues favorites.,Tu ne peux pas créer plus de cinq tenues favorites.,Puoi creare un massimo di 5 look preferiti.,マイコーデは5つまで作成することができます,마이 코디는 5개까지 작성할 수 있습니다,Je kunt maximaal vijf stijlen opslaan.,Можно создать только до пяти свежих прикидов.,最多可创建5套个人穿搭,最多可以建立5套個人穿搭
MyOutfits_Gyro,Neigungsempfindlichkeit,Motion-Control Sensitivity,Motion-Control Sensitivity,Sensibilidad del giroscopio,Sensibilidad del giroscopio,Sensibilité du gyroscope,Sensibilité du gyroscope,Sensibilità sensori di movimento,ジャイロ操作感度,자이로 조작 감도,Bewegingsgevoeligheid,Чувствительность управления движением,陀螺仪操作灵敏度,陀螺儀操作靈敏度
MyOutfits_GyroControl,Bewegungssteuerung,Motion Controls,Motion Controls,Giroscopio,Control por movimiento,Gyroscope,Gyroscope,Sensori di movimento,ジャイロ操作,자이로 조작,Bewegingsbesturing,Управление движением,陀螺仪操作,陀螺儀操作
MyOutfits_HandheldMode,Handheld-Modus,Handheld Mode,Handheld Mode,Modo portátil,Modo portátil,Mode portable,Mode portable,Stile portatile,携帯モード,휴대 모드,Handheldstijl,Портативный режим,掌上模式,手提模式
MyOutfits_Hashtag,LieblingsStyles,FreshestFits,FreshestFits,AtuendosFavoritos,TusAtuendos,TenuesFavorites,TenuesFavorites,LookPreferiti,マイコーデ,마이코디,Lievelingsstijlen,СвежиеПрикиды,个人穿搭,個人穿搭
MyOutfits_Head,Kopf,Headgear,Headgear,accesorios,accesorios,Accessoires,Accessoires,accessori,アタマ,액세서리,Accessoires,Аксессуары,头部装备,頭部裝備
MyOutfits_Main,Hauptwaffen,Main Weapon,Main Weapon,Arma principal,Arma principal,Arme principale,Arme principale,Arma principale,メインウェポン,메인 웨펀,Hoofdwapen,Основное оружие,主要武器,主要武器
MyOutfits_NoGears,Keine entsprechende Ausrüstung gefunden.,No matching gear found.,No matching gear found.,No se encuentra ningún equipamiento.,No se encontró ningún equipamiento.,Aucun résultat,Aucun résultat,Equipaggiamento non trovato.,一致するギアがありません,일치하는 기어가 없습니다,Geen passende uitrusting gevonden.,Нет подходящего снаряжения.,没有符合条件的装备,沒有符合條件的裝備
MyOutfits_NoWeapons,Keine entsprechenden Waffen gefunden.,No matching weapons found.,No matching weapons found.,No se encuentra ningún arma.,No se encontró ningún arma.,Aucun résultat,Aucun résultat,Arma non trovata.,一致するブキがありません,일치하는 무기가 없습니다,Geen passende wapens gevonden.,Нет подходящего оружия.,没有符合条件的武器,沒有符合條件的武器
MyOutfits_Normal,Standard,Normal,Normal,Normal,Normal,Normal,Normal,Normale,ノーマル,노멀,Normaal,Норм.,正常,正常
MyOutfits_Number,Style ,Fit ,Fit ,Atuendo ,Atuendo ,Tenue ,Tenue ,Look ,マイコーデ ,마이 코디 ,Stijl ,Прикид ,个人穿搭 ,個人穿搭
MyOutfits_Off,Aus,OFF,OFF,No,No usar,Non,Non,No,OFF,OFF,Uit,ВЫКЛ.,关闭,OFF
MyOutfits_On,Ein,ON,ON,Sí,Usar,Oui,Oui,Sì,ON,ON,Aan,ВКЛ.,开启,ON
MyOutfits_OpenCameraOption,Kamera-Optionen einblenden,Show Control Settings,Show Control Settings,Ver ajustes de la cámara,Mostrar ajustes,Afficher les paramètres de la caméra,Afficher les paramètres de la caméra,Mostra opzioni,カメラオプションを表示する,카메라 옵션 표시하기,Camerabesturing tonen,Отображать настройки управления,显示镜头选项,顯示鏡頭選項
MyOutfits_RControl, x-Achse, Left/Right, Left/Right,Control  horizontal,Eje horizontal , : Axe horizontal, : axe horizontal, Asse orizzontale, 左右操作, 좌우 조작, Links/rechts, Влево/вправо, 左右操作, 左右操作
MyOutfits_RHorizontal, Empfindlichkeit, Sensitivity, Sensitivity,Sensibilidad de ,Sensibilidad de , : sensibilité, : sensibilité, Sensibilità, 操作感度, 조작 감도, Gevoeligheid, Чувствительность, 操作灵敏度, 操作靈敏度
MyOutfits_RHorizontalUnavailable,Keine Auswirkungen bei deaktivierter Bewegungssteuerung.,Disabled when motion controls are set to OFF.,Disabled when motion controls are set to OFF.,Solo disponible cuando se usa el giroscopio.,No disponible si no se usa el control por movimiento.,Sans effet lorsque le gyroscope est désactivé.,Sans effet lorsque le gyroscope est désactivé.,Solo con i sensori di movimento attivi.,ジャイロ操作OFFの時は無効になります,자이로 조작이 OFF일 때는 무효합니다,Niet beschikbaar als je geen bewegingsbesturing gebruikt.,"Недоступно, когда выключено управление движением.",陀螺仪操作设为关闭时无效,陀螺儀操作設為OFF時無效
MyOutfits_RVertical, y-Achse, Up/Down, Up/Down,Control  vertical,Eje vertical , : Axe vertical, : axe vertical, Asse verticale, 上下操作, 상하 조작, Omhoog/omlaag, Вверх/вниз, 上下操作, 上下操作
MyOutfits_RVerticalUnavailable,Keine Auswirkungen bei aktiver Bewegungssteuerung.,Disabled when motion controls are ON.,Disabled when motion controls are ON.,No disponible cuando se usa el giroscopio.,No disponible si se usa el control por movimiento.,Sans effet lorsque le gyroscope est activé.,Sans effet lorsque le gyroscope est activé.,Non disponibile con i sensori di movimento attivi.,ジャイロ操作ONの時は無効になります,자이로 조작이 ON일 때는 무효합니다,Niet beschikbaar als je bewegingsbesturing gebruikt.,"Недоступно, когда включено управление движением.",陀螺仪操作设为开启时无效,陀螺儀操作設為ON時無效
MyOutfits_Rarity,Sternenwert ,Star Power ,Star Power ,Exclusividad: ,Número de estrellas: ,Nombre d'étoiles : ,Nombre d'étoiles : ,Mitilicità ,レアド ,레어도 ,Zeldzaamheid ,Звезды: ,稀有度 ,稀有度 
MyOutfits_Reverse,Invertiert,Inverted,Inverted,Invertido,Invertido,Inversé,Inversé,Invertito,リバース,리버스,Omgekeerd,Инверт.,反转,反轉
MyOutfits_Save,Speichern,Save,Save,Guardar,Guardar,Sauvegarder,Sauvegarder,Salva,保存,저장,Opslaan,Сохранить,保存,儲存
MyOutfits_Select, auswählen,Select ,Select ,Elegir ,Elegir ,Sélectionne ,Sélectionne ,Seleziona ,を選ぶ, 선택하기, selecteren,Выбрать ,选择,選擇
MyOutfits_SelectCloth,Kleidung wählen,Select Clothes,Select Clothes,Seleccionar ropa,Seleccionar ropa,Choisis un vêtement.,Choisis un vêtement.,Seleziona vestiti,フクを選ぶ,옷 선택하기,Kleding kiezen,Выбор одежды,选择服装,選擇服裝
MyOutfits_SelectHead,Kopf-Accessoire wählen,Select Headgear,Select Headgear,Seleccionar accesorio,Seleccionar accesorio,Choisis un accessoire.,Choisis un accessoire.,Seleziona accessori,アタマを選ぶ,액세서리 선택하기,Accessoire kiezen,Выбор аксессуаров,选择头部装备,選擇頭部裝備
MyOutfits_SelectShoes,Schuhe wählen,Select Shoes,Select Shoes,Seleccionar calzado,Seleccionar calzado,Choisis des chaussures.,Choisis des chaussures.,Seleziona scarpe,クツを選ぶ,신발 선택하기,Schoenen kiezen,Выбор обуви,选择鞋子,選擇鞋子
MyOutfits_SelectSlot,"Wähle den Lieblings-Style, den du ersetzen möchtest.",Choose which Freshest Fit to replace.,Choose which Freshest Fit to replace.,Elige dónde quieres guardarlo.,¿Cuál atuendo quieres remplazar?,Choisis quelle tenue tu veux remplacer.,Choisis quelle tenue tu veux remplacer.,Scegli il look preferito da sostituire.,保存先の選択,저장 위치 선택,Kies welke lievelingsstijl je wilt vervangen.,"Выбери свежий прикид, который хочешь заменить.",选择保存位置,選擇儲存位置
MyOutfits_SelectWeapon,Waffe wählen,Select Weapon,Select Weapon,Seleccionar arma,Seleccionar arma,Choisis une arme.,Choisis une arme.,Seleziona armi,ブキを選ぶ,무기 선택하기,Wapen kiezen,Выбор оружия,选择武器,選擇武器
MyOutfits_Share,Teilen,Share,Share,Compartir,Compartir,Partager,Partager,Condividi,シェア,공유,Delen,Поделиться,分享,分享
MyOutfits_Shoes,Schuhe,Shoes,Shoes,calzado,calzado,Chaussures,Chaussures,scarpe,クツ,신발,Schoenen,Обувь,鞋子,鞋子
MyOutfits_Special,Spezialwaffen,Special Weapon,Special Weapon,Arma especial,Arma especial,Arme spéciale,Arme spéciale,Arma speciale,スペシャルウェポン,스페셜 웨펀,Speciaal wapen,Особое оружие,特殊武器,特殊武器
MyOutfits_Sub,Sekundärwaffen,Sub Weapon,Sub Weapon,Arma secundaria,Arma secundaria,Arme secondaire,Arme secondaire,Arma secondaria,サブウェポン,서브 웨펀,Subwapen,Запасное оружие,次要武器,次要武器
MyOutfits_SubmitGear,OK,OK,OK,Aceptar,Aceptar,OK,OK,OK,決定,결정,Oké,OK,确定,確定
MyOutfits_SubmitWeapon,OK,OK,OK,Aceptar,Aceptar,OK,OK,OK,決定,결정,Oké,OK,确定,確定
MyOutfits_Title,Lieblings-Styles,Freshest Fits,Freshest Fits,Atuendos favoritos,Tus atuendos,Tenues favorites,Tenues favorites,Look preferiti,マイコーデ,마이 코디,Lievelingsstijlen,Свежие прикиды,个人穿搭,個人穿搭
MyOutfits_TurfPoint,Eingefärbte Fläche <em> P</em>,Turf Inked <em>p</em>,Turf Inked <em>p</em>,Superficie pintada: <em> p</em>,Territorio pintado: <em>p.</em>,Surface encrée <em> p.</em>,Surface encrée <em> p.</em>,Superficie inchiostrata (<em>p</em>),今まで塗った面積 <em>p</em>,지금까지 칠한 면적 <em>p</em>,Geverfde grond <em> p</em>,За прокрас: <em> очк.</em>,至今为止的涂墨面积 <em>p</em>,至今為止的塗墨面積 <em>p</em>
MyOutfits_TvTabletopMode,TV-/Tisch-Modus,TV/Tabletop Mode,TV/Tabletop Mode,Modo televisor/modo sobremesa,Modo televisor/semiportátil,Mode TV/Mode sur table,Mode TV/Mode sur table,Stile TV/Stile da tavolo,TVモード/テーブルモード,TV 모드/테이블 모드,Tv-stijl/tafelstijl,Режим ТВ / настольный,TV模式/桌面模式,TV模式/桌上模式
MyOutfits_Weapon,Waffe,Weapon,Weapon,Arma,Arma,Armes,Armes,Arma,ブキ,무기,Wapen,Оружие,武器,武器
